sub_category,product_id,cost_price,list_price,quantity,discount_percent,cost_quantity,discount,sales_price,profit
Art,OFF-AR-10001868,0,0,1,5,0,0.0,0.0,0.0
Accessories,TEC-AC-10004633,10,10,2,3,20,0.6,19.4,-0.6000000000000014
Binders,OFF-BI-10001078,20,30,6,2,120,3.5999999999999996,176.4,56.400000000000006
Paper,OFF-PA-10003892,130,150,3,5,390,22.5,427.5,37.5
Furnishings,FUR-FU-10000397,70,80,4,2,280,6.4,313.6,33.60000000000002
Chairs,FUR-CH-10001146,180,210,5,5,900,52.5,997.5,97.5
Art,OFF-AR-10002671,940,1110,8,3,7520,266.4,8613.6,1093.6000000000004
Phones,TEC-PH-10002726,160,170,4,3,640,20.4,659.6,19.600000000000023
Paper,OFF-PA-10000482,70,80,2,2,140,3.2,156.8,16.80000000000001
Binders,OFF-BI-10004654,0,0,1,3,0,0.0,0.0,0.0
Paper,OFF-PA-10004675,20,20,3,3,60,1.7999999999999998,58.2,-1.7999999999999972
Chairs,FUR-CH-10000513,790,830,8,2,6320,132.8,6507.2,187.19999999999982
Furnishings,FUR-FU-10003708,90,100,2,3,180,6.0,194.0,14.0
Storage,OFF-ST-10004123,60,70,1,2,60,1.4,68.6,8.599999999999994
Binders,OFF-BI-10004182,0,0,3,4,0,0.0,0.0,0.0
Furnishings,FUR-FU-10000260,10,10,3,4,30,1.2000000000000002,28.8,-1.1999999999999993
Storage,OFF-ST-10000615,20,30,3,2,60,1.7999999999999998,88.2,28.200000000000003
Furnishings,FUR-FU-10003194,20,20,5,2,100,2.0,98.0,-2.0
Appliances,OFF-AP-10002118,190,210,1,3,190,6.3,203.7,13.699999999999989
Binders,OFF-BI-10002309,20,20,3,2,60,1.2000000000000002,58.8,-1.2000000000000028
Art,OFF-AR-10002053,10,10,5,5,50,2.5,47.5,-2.5
Storage,OFF-ST-10002370,20,20,1,4,20,0.8,19.2,-0.8000000000000007
Envelopes,OFF-EN-10000927,180,200,7,3,1260,42.0,1358.0,98.0
Storage,OFF-ST-10003656,210,230,3,2,630,13.799999999999999,676.2,46.200000000000045
Chairs,FUR-CH-10000863,260,300,2,5,520,30.0,570.0,50.0
Accessories,TEC-AC-10001998,20,20,1,5,20,1.0,19.0,-1.0
Labels,OFF-LA-10000134,10,10,2,5,20,1.0,19.0,-1.0
Storage,OFF-ST-10003442,140,160,7,5,980,56.0,1064.0,84.0
Art,OFF-AR-10004930,20,20,3,2,60,1.2000000000000002,58.8,-1.2000000000000028
Phones,TEC-PH-10004093,60,70,2,2,120,2.8,137.2,17.19999999999999
Paper,OFF-PA-10000304,10,10,1,2,10,0.2,9.8,-0.1999999999999993
Paper,OFF-PA-10003177,10,10,2,2,20,0.4,19.6,-0.3999999999999986
Furnishings,FUR-FU-10003799,50,50,3,5,150,7.5,142.5,-7.5
Binders,OFF-BI-10002852,20,30,2,3,40,1.8,58.2,18.200000000000003
Binders,OFF-BI-10004738,10,10,1,2,10,0.2,9.8,-0.1999999999999993
Furnishings,FUR-FU-10000629,80,100,7,5,560,35.0,665.0,105.0
Binders,OFF-BI-10001721,40,50,3,4,120,6.0,144.0,24.0
Appliances,OFF-AP-10000358,70,80,6,3,420,14.399999999999999,465.6,45.60000000000002
Paper,OFF-PA-10003256,60,60,7,3,420,12.6,407.4,-12.600000000000023
Accessories,TEC-AC-10001767,80,100,3,5,240,15.0,285.0,45.0
Binders,OFF-BI-10002609,0,0,3,3,0,0.0,0.0,0.0
Paper,OFF-PA-10004040,20,20,4,4,80,3.2,76.8,-3.200000000000003
Accessories,TEC-AC-10001552,220,240,6,3,1320,43.2,1396.8,76.79999999999995
Furnishings,FUR-FU-10004006,90,100,3,5,270,15.0,285.0,15.0
Binders,OFF-BI-10002794,30,40,3,5,90,6.0,114.0,24.0
Accessories,TEC-AC-10003499,60,70,8,5,480,28.0,532.0,52.0
Phones,TEC-PH-10002844,30,30,1,3,30,0.9,29.1,-0.8999999999999986
Art,OFF-AR-10000390,0,0,1,3,0,0.0,0.0,0.0
Accessories,TEC-AC-10000844,290,340,5,2,1450,34.0,1666.0,216.0
Furnishings,FUR-FU-10001934,30,40,2,2,60,1.6,78.4,18.400000000000006
Art,OFF-AR-10000380,70,80,2,3,140,4.8,155.2,15.199999999999989
Binders,OFF-BI-10003981,30,30,6,3,180,5.4,174.6,-5.400000000000006
Fasteners,OFF-FA-10000621,40,40,14,2,560,11.200000000000001,548.8,-11.200000000000045
Envelopes,OFF-EN-10002600,0,0,2,4,0,0.0,0.0,0.0
Paper,OFF-PA-10004965,20,20,3,4,60,2.4000000000000004,57.6,-2.3999999999999986
Envelopes,OFF-EN-10002504,120,130,6,5,720,39.0,741.0,21.0
Tables,FUR-TA-10001768,720,790,3,4,2160,94.80000000000001,2275.2,115.19999999999982
Binders,OFF-BI-10003650,140,160,1,5,140,8.0,152.0,12.0
Furnishings,FUR-FU-10002157,50,50,3,3,150,4.5,145.5,-4.5
Binders,OFF-BI-10003910,20,30,4,2,80,2.4,117.6,37.599999999999994
Storage,OFF-ST-10000777,190,230,6,2,1140,27.599999999999998,1352.4,212.4000000000001
Envelopes,OFF-EN-10002500,110,120,9,4,990,43.199999999999996,1036.8,46.799999999999955
Phones,TEC-PH-10003875,60,70,7,2,420,9.799999999999999,480.2,60.19999999999999
Chairs,FUR-CH-10004063,550,600,3,3,1650,54.0,1746.0,96.0
Tables,FUR-TA-10004534,540,620,6,4,3240,148.8,3571.2,331.1999999999998
Binders,OFF-BI-10003274,0,0,2,4,0,0.0,0.0,0.0
Storage,OFF-ST-10002974,200,240,7,4,1400,67.2,1612.8,212.79999999999995
Chairs,FUR-CH-10001146,70,80,2,2,140,3.2,156.8,16.80000000000001
Furnishings,FUR-FU-10003773,220,240,3,4,660,28.799999999999997,691.2,31.200000000000045
Phones,TEC-PH-10002293,50,60,5,3,250,9.0,291.0,41.0
Paper,OFF-PA-10002377,80,80,2,4,160,6.4,153.6,-6.400000000000006
Fasteners,OFF-FA-10002780,20,20,9,5,180,9.0,171.0,-9.0
Paper,OFF-PA-10001804,20,20,3,4,60,2.4000000000000004,57.6,-2.3999999999999986
Paper,OFF-PA-10001736,30,40,1,5,30,2.0,38.0,8.0
Art,OFF-AR-10001149,10,10,4,5,40,2.0,38.0,-2.0
Fasteners,OFF-FA-10002988,0,0,2,5,0,0.0,0.0,0.0
Binders,OFF-BI-10004781,70,80,3,2,210,4.800000000000001,235.2,25.19999999999999
Supplies,OFF-SU-10001218,60,70,6,5,360,21.0,399.0,39.0
Furnishings,FUR-FU-10001706,40,40,14,2,560,11.200000000000001,548.8,-11.200000000000045
Furnishings,FUR-FU-10004848,60,80,2,2,120,3.2,156.8,36.80000000000001
Art,OFF-AR-10000940,10,10,3,3,30,0.8999999999999999,29.1,-0.8999999999999986
Envelopes,OFF-EN-10004030,10,10,3,2,30,0.6000000000000001,29.4,-0.6000000000000014
Paper,OFF-PA-10004327,130,140,3,5,390,21.0,399.0,9.0
Appliances,OFF-AP-10001058,780,840,3,2,2340,50.400000000000006,2469.6,129.5999999999999
Storage,OFF-ST-10003656,600,670,7,3,4200,140.70000000000002,4549.3,349.3000000000002
Furnishings,FUR-FU-10000521,80,90,4,4,320,14.4,345.6,25.600000000000023
Phones,TEC-PH-10000215,350,380,11,4,3850,167.2,4012.8,162.80000000000018
Phones,TEC-PH-10001448,140,150,3,5,420,22.5,427.5,7.5
Chairs,FUR-CH-10000454,1580,1950,8,3,12640,468.0,15132.0,2492.0
Binders,OFF-BI-10002735,150,170,5,4,750,34.0,816.0,66.0
Appliances,OFF-AP-10000326,140,160,5,5,700,40.0,760.0,60.0
Phones,TEC-PH-10001254,160,200,2,2,320,8.0,392.0,72.0
Paper,OFF-PA-10001950,50,60,7,4,350,16.8,403.2,53.19999999999999
Paper,OFF-PA-10002254,100,110,4,4,400,17.6,422.4,22.399999999999977
Storage,OFF-ST-10001590,60,80,6,4,360,19.200000000000003,460.8,100.80000000000001
Art,OFF-AR-10001547,10,10,3,3,30,0.8999999999999999,29.1,-0.8999999999999986
Chairs,FUR-CH-10004063,380,460,2,2,760,18.4,901.6,141.60000000000002
Labels,OFF-LA-10002475,10,10,2,3,20,0.6,19.4,-0.6000000000000014
Phones,TEC-PH-10004536,870,940,7,5,6090,329.0,6251.0,161.0
Paper,OFF-PA-10002751,10,10,1,4,10,0.4,9.6,-0.40000000000000036
Accessories,TEC-AC-10003657,40,50,2,5,80,5.0,95.0,15.0
Envelopes,OFF-EN-10001990,30,30,5,4,150,6.0,144.0,-6.0
Binders,OFF-BI-10004002,20,30,2,3,40,1.8,58.2,18.200000000000003
Art,OFF-AR-10004441,10,10,3,5,30,1.5,28.5,-1.5
Machines,TEC-MA-10000822,6850,8160,8,4,54800,2611.2,62668.8,7868.800000000003
Storage,OFF-ST-10000991,250,280,3,4,750,33.599999999999994,806.4,56.39999999999998
Chairs,FUR-CH-10004287,1620,1740,9,4,14580,626.4,15033.6,453.60000000000036
Art,OFF-AR-10002656,30,30,6,4,180,7.199999999999999,172.8,-7.199999999999989
Appliances,OFF-AP-10002518,150,180,5,2,750,18.0,882.0,132.0
Phones,TEC-PH-10003931,120,140,3,5,360,21.0,399.0,39.0
Paper,OFF-PA-10000659,20,20,3,2,60,1.2000000000000002,58.8,-1.2000000000000028
Paper,OFF-PA-10001144,100,110,2,4,200,8.8,211.2,11.199999999999989
Chairs,FUR-CH-10003817,290,340,7,2,2030,47.6,2332.4,302.4000000000001
Appliances,OFF-AP-10000891,50,50,2,4,100,4.0,96.0,-4.0
Labels,OFF-LA-10003148,20,20,4,5,80,4.0,76.0,-4.0
Appliances,OFF-AP-10002684,90,100,4,2,360,8.0,392.0,32.0
Chairs,FUR-CH-10004698,370,400,7,5,2590,140.0,2660.0,70.0
Supplies,OFF-SU-10002189,20,20,5,3,100,3.0,97.0,-3.0
Art,OFF-AR-10001940,0,0,1,5,0,0.0,0.0,0.0
Storage,OFF-ST-10003455,20,20,2,5,40,2.0,38.0,-2.0
Accessories,TEC-AC-10004659,380,410,7,3,2660,86.10000000000001,2783.9,123.90000000000009
Phones,TEC-PH-10003273,470,500,4,5,1880,100.0,1900.0,20.0
Phones,TEC-PH-10004896,140,150,5,2,700,15.0,735.0,35.0
Accessories,TEC-AC-10002345,30,30,2,5,60,3.0,57.0,-3.0
Binders,OFF-BI-10001890,10,10,2,2,20,0.4,19.6,-0.3999999999999986
Accessories,TEC-AC-10002323,160,180,8,3,1280,43.2,1396.8,116.79999999999995
Storage,OFF-ST-10001328,40,40,3,4,120,4.800000000000001,115.2,-4.799999999999997
Paper,OFF-PA-10001950,20,20,3,3,60,1.7999999999999998,58.2,-1.7999999999999972
Bookcases,FUR-BO-10002613,820,900,4,3,3280,108.0,3492.0,212.0
Phones,TEC-PH-10001552,60,70,6,4,360,16.799999999999997,403.2,43.19999999999999
Paper,OFF-PA-10000061,50,50,8,5,400,20.0,380.0,-20.0
Bookcases,FUR-BO-10002545,520,630,3,2,1560,37.8,1852.2,292.20000000000005
Art,OFF-AR-10003514,20,20,5,3,100,3.0,97.0,-3.0
Envelopes,OFF-EN-10001509,10,10,7,2,70,1.4000000000000001,68.6,-1.4000000000000057
Art,OFF-AR-10004685,10,10,2,5,20,1.0,19.0,-1.0
Art,OFF-AR-10004027,10,10,3,2,30,0.6000000000000001,29.4,-0.6000000000000014
Storage,OFF-ST-10001414,40,50,3,5,120,7.5,142.5,22.5
Binders,OFF-BI-10000343,0,0,2,5,0,0.0,0.0,0.0
Paper,OFF-PA-10002749,20,20,3,2,60,1.2000000000000002,58.8,-1.2000000000000028
Paper,OFF-PA-10002666,20,20,3,5,60,3.0,57.0,-3.0
Tables,FUR-TA-10004289,200,220,2,3,400,13.2,426.8,26.80000000000001
Appliances,OFF-AP-10003622,0,0,1,5,0,0.0,0.0,0.0
Appliances,OFF-AP-10003217,60,70,2,2,120,2.8,137.2,17.19999999999999
Furnishings,FUR-FU-10002960,40,40,7,3,280,8.4,271.6,-8.399999999999977
Phones,TEC-PH-10001918,370,440,4,3,1480,52.8,1707.2,227.20000000000005
Storage,OFF-ST-10000642,70,80,4,4,280,12.8,307.2,27.19999999999999
Phones,TEC-PH-10001700,120,130,2,3,240,7.8,252.2,12.199999999999989
Binders,OFF-BI-10003274,20,20,4,3,80,2.4,77.6,-2.4000000000000057
Fasteners,OFF-FA-10000134,50,50,9,2,450,9.0,441.0,-9.0
Storage,OFF-ST-10001522,80,90,1,5,80,4.5,85.5,5.5
Accessories,TEC-AC-10001266,20,20,2,4,40,1.6,38.4,-1.6000000000000014
Labels,OFF-LA-10004544,20,20,2,4,40,1.6,38.4,-1.6000000000000014
Bookcases,FUR-BO-10004695,390,450,5,5,1950,112.5,2137.5,187.5
Phones,TEC-PH-10002844,50,60,3,3,150,5.4,174.6,24.599999999999994
Machines,TEC-MA-10000864,1040,1190,9,4,9360,428.40000000000003,10281.6,921.6000000000004
Accessories,TEC-AC-10000109,80,90,2,5,160,9.0,171.0,11.0
Storage,OFF-ST-10001328,80,90,6,3,480,16.200000000000003,523.8,43.799999999999955
Phones,TEC-PH-10002563,250,300,3,4,750,36.0,864.0,114.0
Fasteners,OFF-FA-10000585,10,10,2,2,20,0.4,19.6,-0.3999999999999986
Paper,OFF-PA-10004000,20,20,6,4,120,4.800000000000001,115.2,-4.799999999999997
Binders,OFF-BI-10002852,20,20,4,3,80,2.4,77.6,-2.4000000000000057
Furnishings,FUR-FU-10000087,60,70,4,3,240,8.4,271.6,31.600000000000023
Machines,TEC-MA-10001148,410,480,4,4,1640,76.8,1843.2,203.20000000000005
Art,OFF-AR-10001958,30,30,2,4,60,2.4,57.6,-2.3999999999999986
Art,OFF-AR-10001026,0,0,1,2,0,0.0,0.0,0.0
Tables,FUR-TA-10003748,510,620,5,2,2550,62.0,3038.0,488.0
Storage,OFF-ST-10002485,20,20,1,3,20,0.6,19.4,-0.6000000000000014
Chairs,FUR-CH-10004860,130,160,2,2,260,6.4,313.6,53.60000000000002
Chairs,FUR-CH-10004477,360,390,8,2,2880,62.4,3057.6,177.5999999999999
Binders,OFF-BI-10001679,20,20,7,5,140,7.0,133.0,-7.0
Tables,FUR-TA-10001705,210,230,2,4,420,18.4,441.6,21.600000000000023
Tables,FUR-TA-10003473,510,620,3,4,1530,74.4,1785.6,255.5999999999999
Binders,OFF-BI-10001679,10,10,2,2,20,0.4,19.6,-0.3999999999999986
Furnishings,FUR-FU-10004017,250,260,3,5,750,39.0,741.0,-9.0
Accessories,TEC-AC-10003832,500,620,3,4,1500,74.4,1785.6,285.5999999999999
Paper,OFF-PA-10002479,10,10,2,4,20,0.8,19.2,-0.8000000000000007
Paper,OFF-PA-10003349,30,30,5,4,150,6.0,144.0,-6.0
Furnishings,FUR-FU-10000576,340,420,5,2,1700,42.0,2058.0,358.0
Furnishings,FUR-FU-10004351,10,10,3,2,30,0.6000000000000001,29.4,-0.6000000000000014
Phones,TEC-PH-10000011,30,30,2,3,60,1.8,58.2,-1.7999999999999972
Tables,FUR-TA-10002607,150,180,5,3,750,27.0,873.0,123.0
Furnishings,FUR-FU-10002505,0,0,3,4,0,0.0,0.0,0.0
Art,OFF-AR-10004685,10,10,2,3,20,0.6,19.4,-0.6000000000000014
Chairs,FUR-CH-10004063,1620,2000,7,2,11340,280.0,13720.0,2380.0
Storage,OFF-ST-10002276,150,170,2,4,300,13.6,326.4,26.399999999999977
Paper,OFF-PA-10004082,40,50,6,5,240,15.0,285.0,45.0
Appliances,OFF-AP-10002945,1380,1500,5,5,6900,375.0,7125.0,225.0
Paper,OFF-PA-10000061,20,30,4,3,80,3.6,116.4,36.400000000000006
Chairs,FUR-CH-10002965,300,320,2,5,600,32.0,608.0,8.0
Paper,OFF-PA-10004569,10,10,1,3,10,0.3,9.7,-0.3000000000000007
Accessories,TEC-AC-10003832,3050,3350,13,4,39650,1742.0,41808.0,2158.0
Storage,OFF-ST-10001228,70,80,6,5,420,24.0,456.0,36.0
Envelopes,OFF-EN-10003296,330,360,4,4,1320,57.6,1382.4,62.40000000000009
Furnishings,FUR-FU-10002505,10,10,9,2,90,1.8,88.2,-1.7999999999999972
Storage,OFF-ST-10004804,70,80,2,2,140,3.2,156.8,16.80000000000001
Storage,OFF-ST-10001590,40,50,5,2,200,5.0,245.0,45.0
Phones,TEC-PH-10001580,590,650,6,4,3540,156.0,3744.0,204.0
Accessories,TEC-AC-10000290,20,20,3,5,60,3.0,57.0,-3.0
Storage,OFF-ST-10002790,180,220,3,4,540,26.400000000000002,633.6,93.60000000000002
Binders,OFF-BI-10003460,20,20,5,5,100,5.0,95.0,-5.0
Appliances,OFF-AP-10002203,0,0,2,2,0,0.0,0.0,0.0
Machines,TEC-MA-10000822,2690,3060,3,3,8070,275.4,8904.6,834.6000000000004
Machines,TEC-MA-10003353,2170,2520,7,3,15190,529.1999999999999,17110.8,1920.7999999999993
Phones,TEC-PH-10001433,300,330,4,3,1200,39.6,1280.4,80.40000000000009
Accessories,TEC-AC-10004469,70,80,2,4,140,6.4,153.6,13.599999999999994
Art,OFF-AR-10003602,10,10,3,5,30,1.5,28.5,-1.5
Fasteners,OFF-FA-10003472,10,10,6,2,60,1.2000000000000002,58.8,-1.2000000000000028
Storage,OFF-ST-10004180,30,40,1,3,30,1.2,38.8,8.799999999999997
Envelopes,OFF-EN-10004386,50,60,3,3,150,5.4,174.6,24.599999999999994
Storage,OFF-ST-10003208,590,730,4,2,2360,58.4,2861.6,501.5999999999999
Accessories,TEC-AC-10003628,200,210,7,5,1400,73.5,1396.5,-3.5
Furnishings,FUR-FU-10003274,10,10,3,4,30,1.2000000000000002,28.8,-1.1999999999999993
Binders,OFF-BI-10002557,10,10,3,4,30,1.2000000000000002,28.8,-1.1999999999999993
Paper,OFF-PA-10002615,10,10,2,3,20,0.6,19.4,-0.6000000000000014
Art,OFF-AR-10001427,10,10,1,2,10,0.2,9.8,-0.1999999999999993
Paper,OFF-PA-10000673,10,10,2,4,20,0.8,19.2,-0.8000000000000007
Paper,OFF-PA-10004470,20,20,4,2,80,1.6,78.4,-1.5999999999999943
Storage,OFF-ST-10000876,50,60,6,2,300,7.199999999999999,352.8,52.80000000000001
Labels,OFF-LA-10002043,20,20,3,5,60,3.0,57.0,-3.0
Binders,OFF-BI-10004967,0,0,5,3,0,0.0,0.0,0.0
Phones,TEC-PH-10001760,1050,1110,7,3,7350,233.09999999999997,7536.9,186.89999999999964
Tables,FUR-TA-10002903,950,1040,5,5,4750,260.0,4940.0,190.0
Paper,OFF-PA-10000474,130,140,5,5,650,35.0,665.0,15.0
Accessories,TEC-AC-10001956,210,240,5,5,1050,60.0,1140.0,90.0
Paper,OFF-PA-10004100,30,30,6,5,180,9.0,171.0,-9.0
Binders,OFF-BI-10000778,230,250,7,3,1610,52.5,1697.5,87.5
Appliances,OFF-AP-10002684,150,190,2,2,300,7.6,372.4,72.39999999999998
Supplies,OFF-SU-10000646,810,960,5,5,4050,240.0,4560.0,510.0
Fasteners,OFF-FA-10002983,20,20,7,5,140,7.0,133.0,-7.0
Labels,OFF-LA-10004689,20,20,8,3,160,4.8,155.2,-4.800000000000011
Accessories,TEC-AC-10002001,220,260,2,2,440,10.4,509.6,69.60000000000002
Bookcases,FUR-BO-10004709,80,90,3,4,240,10.8,259.2,19.19999999999999
Furnishings,FUR-FU-10004091,280,300,8,5,2240,120.0,2280.0,40.0
Chairs,FUR-CH-10001891,190,230,3,2,570,13.799999999999999,676.2,106.20000000000005
Furnishings,FUR-FU-10002918,180,220,3,2,540,13.200000000000001,646.8,106.79999999999995
Binders,OFF-BI-10004593,70,80,5,5,350,20.0,380.0,30.0
Fasteners,OFF-FA-10004854,30,30,3,3,90,2.7,87.3,-2.700000000000003
Paper,OFF-PA-10002105,20,30,5,2,100,3.0,147.0,47.0
Storage,OFF-ST-10002756,930,1080,8,2,7440,172.8,8467.2,1027.2000000000007
Paper,OFF-PA-10004243,50,60,3,5,150,9.0,171.0,21.0
Furnishings,FUR-FU-10001861,70,80,4,4,280,12.8,307.2,27.19999999999999
Binders,OFF-BI-10002706,10,10,1,4,10,0.4,9.6,-0.40000000000000036
Tables,FUR-TA-10002533,180,220,3,4,540,26.400000000000002,633.6,93.60000000000002
Furnishings,FUR-FU-10002671,20,30,2,2,40,1.2,58.8,18.799999999999997
Art,OFF-AR-10003651,10,10,3,4,30,1.2000000000000002,28.8,-1.1999999999999993
Binders,OFF-BI-10001072,50,50,3,5,150,7.5,142.5,-7.5
Art,OFF-AR-10002135,250,290,6,4,1500,69.6,1670.4,170.4000000000001
Art,OFF-AR-10002804,0,0,1,3,0,0.0,0.0,0.0
Furnishings,FUR-FU-10001918,20,20,4,5,80,4.0,76.0,-4.0
Chairs,FUR-CH-10004086,400,470,2,4,800,37.6,902.4,102.39999999999998
Furnishings,FUR-FU-10001756,20,20,1,4,20,0.8,19.2,-0.8000000000000007
Labels,OFF-LA-10000634,10,10,3,3,30,0.8999999999999999,29.1,-0.8999999999999986
Furnishings,FUR-FU-10001588,80,90,3,2,240,5.4,264.6,24.600000000000023
Phones,TEC-PH-10002398,160,180,2,5,320,18.0,342.0,22.0
Paper,OFF-PA-10001937,20,20,3,5,60,3.0,57.0,-3.0
Art,OFF-AR-10003373,90,100,4,2,360,8.0,392.0,32.0
Chairs,FUR-CH-10002602,120,140,1,2,120,2.8,137.2,17.19999999999999
Machines,TEC-MA-10002927,3670,3990,2,2,7340,159.6,7820.4,480.39999999999964
Phones,TEC-PH-10004093,230,280,6,3,1380,50.400000000000006,1629.6,249.5999999999999
Accessories,TEC-AC-10000892,300,360,4,3,1200,43.2,1396.8,196.79999999999995
Storage,OFF-ST-10002974,40,40,1,2,40,0.8,39.2,-0.7999999999999972
Fasteners,OFF-FA-10000624,10,10,2,5,20,1.0,19.0,-1.0
Binders,OFF-BI-10004593,220,250,6,5,1320,75.0,1425.0,105.0
Accessories,TEC-AC-10001908,80,100,1,3,80,3.0,97.0,17.0
Furnishings,FUR-FU-10001967,20,20,1,4,20,0.8,19.2,-0.8000000000000007
Phones,TEC-PH-10003645,270,290,3,3,810,26.099999999999998,843.9,33.89999999999998
Storage,OFF-ST-10000675,40,50,2,5,80,5.0,95.0,15.0
Chairs,FUR-CH-10003312,740,790,4,3,2960,94.8,3065.2,105.19999999999982
Labels,OFF-LA-10001074,90,100,10,2,900,20.0,980.0,80.0
Binders,OFF-BI-10001524,30,40,6,3,180,7.199999999999999,232.8,52.80000000000001
Phones,TEC-PH-10004614,70,80,2,3,140,4.8,155.2,15.199999999999989
Binders,OFF-BI-10001153,20,20,2,2,40,0.8,39.2,-0.7999999999999972
